uic;name;lon;lat
1010119;Orivesi Matkahuolto;24.35317;61.67697
1010393;Leppävaara, Linja-autoasema;24.811783;60.219283
1010470;Runni Th;26.856144;63.588468
1010518;Iisalmi, Linja-Autoasema;27.190952;63.557118
1010579;Turku, Linja-Autoasema;22.267206;60.456777
1010618;Helsinki Kangasalantie;24.958993;60.195436
1031617;Hanko (Bus);22.978637;59.824287
1032701;Kotka Linja-autoasema (Bus);26.923573;60.514755
1033221;Salo, Linja-autoasema;23.121712;60.386862
1033401;Rauma Las;21.493378;61.132538
1035401;Kemijärvi Linja-auto (Bus);27.429073;66.717379
1036101;Pieksamaki;27.241167;62.2596
1036701;Kajaani, Linja-autoasema;27.739364;64.220101
1037301;Savonlinna Linja-auto (Bus);28.872502;61.870274
1090012;Helsinki, Linja-Autoasema;24.936172;60.169763
1090036;Karjaa Rautatieasema;23.663113;60.069327
1090069;Siilinjärvi Linja-autoas.(Bus);27.657037;63.081712
1090075;Tammisaari/Ekenäs (Bus);23.43516;59.957459
1090078;Turku satama/Abo hamn (Bus);22.223815;60.434943
1090084;Helsinki Airport Terminal 1;25.007437;60.290218
1090085;Helsinki Airport Terminal 2;25.00324;60.292804
1099990;Helsinki Kamppi Bus station;24.931693;60.169001
1099999;Helsinki Lentoasema/Airport;24.968557;60.31575
1100008;Zell (Wiesental), Wilder Mann;7.859649;47.710086
1100009;Zell (Wiesental), Grönland;7.862908;47.713191
1100010;Atzenbach;7.872349;47.71462
1100011;Mambach, Brücke;7.87747;47.728211
1100012;Mambach, Mühlschau;7.881386;47.734081
1100013;Mambach, Silbersau;7.88223;47.739519
1100014;Fröhnd (Schwarzw), Wühre;7.889133;47.754366
1100015;Fröhnd (Schwarzw), Unterkastel;7.885541;47.760592
1100016;Wembach (Baden);7.887724;47.772829
1100017;Schönau (Schw), Brand;7.892194;47.777458
1100018;Schönau (Schw), Zentrum;7.893841;47.786206
1100019;Schönau (Schw), Friedhof;7.898094;47.789645
1100020;Schönau (Schw), Schönenbuchen;7.902222;47.793628
1100021;Aitern, Abzweigung;7.90471;47.797428
1100022;Utzenfeld, Reiterhof;7.908945;47.799597
1100023;Utzenfeld, Wiese;7.916491;47.801513
1100024;Utzenfeld, Engel;7.921874;47.802433
1100025;Geschwend (Baden), Mättlestr.;7.93668;47.803888
1100026;Geschwend (Baden), Unterdorf;7.93715;47.806133
1100027;Schlechtnau;7.93912;47.818226
1100028;Todtnau, Busbahnhof;7.941935;47.828631
1100029;Todtnau, Schönauerstrasse;7.946701;47.829147
1100030;Todtnau, Poche;7.960083;47.832007
1100031;Brandenberg (D), Siedlung;7.972576;47.836716
1100032;Brandenberg (D), Hirschen;7.974714;47.842709
1100033;Brandenberg (D), Wiesenstrasse;7.981831;47.844848
1100034;Fahl, Lawine;7.99624;47.852517
1100035;Fahl, Skilift;8.004758;47.85641
1100036;Fahl, Todtnauerhütte;7.998094;47.858584
1100037;Feldberg, Hebelhof;8.027695;47.856594
1100038;Feldberg, Feldbergerhof;8.035834;47.860559
1100039;Feldberg, Caritas-Haus;8.052701;47.858485
1100040;Feldberg, Kohlplatz;8.068079;47.861284
1100041;Bärental, Altes Rathaus;8.09095;47.87049
1100042;Feldberg-Bärental, Bahnhof;8.098612;47.872369
1100043;Bärental, Bahnhofstrasse;8.096856;47.870205
1100044;Bärental, Bären;8.093766;47.871657
1100045;Bärental, Behabühl;8.099616;47.874173
1100046;Bärental, Löffelschmiede;8.107924;47.878669
1100047;Hinterzarten, Heizmannshof;8.122001;47.888218
1100048;Titisee, Feuerwehrheim;8.129241;47.888761
1100049;Titisee, Abzw. Bühlhof;8.140666;47.89479
1100050;Titisee, Freibad;8.14526;47.89934
1100051;Titisee, Kurhaus;8.150216;47.900858
1100052;Titisee, Bahnhof;8.155124;47.902815
1100053;Todtnau, Sonnhalde;7.938203;47.834054
1100054;Aftersteg;7.929254;47.842626
1100055;Todtnauberg, Hangloch;7.937485;47.845374
1100056;Todtnauberg, Sternen;7.938888;47.849626
1100057;Todtnauberg, Rathaus;7.941096;47.851806
1100058;Muggenbrunn, Grüner Baum;7.917685;47.857477
1100059;Muggenbrunn, Säge;7.917008;47.864924
1100060;Halde, Notschrei;7.9103;47.875883
1100061;Halde, Haldenköpfle;7.895833;47.885184
1100062;Halde, Schauinsland;7.892248;47.890817
1100063;Hofsgrund, Plätzle;7.89714;47.899205
1100064;Hofsgrund, Hof;7.900498;47.902377
1100065;Hofsgrund, Hansenhof;7.91749;47.903767
1100066;St. Wilhelm, Steinwasen;7.92304;47.898083
1100067;St. Wilhelm, Hohe Brücke;7.931716;47.903653
1100068;Oberried (D), Schneeberg;7.933781;47.912566
1100069;Oberried (D), Hintertal;7.938285;47.923967
1100070;Oberried (D), Surenhof;7.94095;47.928526
1100071;Oberried (D), Adler;7.947478;47.932068
1100072;Oberried (D), Sternen/Post;7.953289;47.934713
1100073;Oberried (D), Weilersbach;7.953718;47.943966
1100074;Kirchzarten, Geroldstal;7.952463;47.948399
1100075;Kirchzarten, Sportplatz;7.95459;47.959125
1100076;Kirchzarten, Krone;7.95289;47.961724
1100077;Kirchzarten, Grundschule;7.955229;47.964305
1100078;Kirchzarten, Bahnhof;7.959225;47.969294
1100079;Lörrach, Busbahnhof;7.663838;47.614431
1100080;Lörrach, Krankenhaus;7.659606;47.614065
